Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
34	mike469	1556582524.070	   314.606	0	28	0	0	sh run_mapping.sh input/33.in 33
91	mike458	1556582524.477	   324.788	0	28	0	0	sh run_mapping.sh input/90.in 90
78	mike466	1556582524.368	   329.795	0	28	0	0	sh run_mapping.sh input/77.in 77
70	mike466	1556582524.307	   331.608	0	28	0	0	sh run_mapping.sh input/69.in 69
75	mike458	1556582524.348	   335.530	0	28	0	0	sh run_mapping.sh input/74.in 74
101	mike464	1556582524.566	   336.597	0	28	0	0	sh run_mapping.sh input/100.in 100
60	mike465	1556582524.237	   347.170	0	28	0	0	sh run_mapping.sh input/59.in 59
5	mike464	1556582523.902	   351.664	0	28	0	0	sh run_mapping.sh input/4.in 4
73	mike363	1556582524.332	   352.036	0	28	0	0	sh run_mapping.sh input/72.in 72
45	mike464	1556582524.140	   354.969	0	27	0	0	sh run_mapping.sh input/44.in 44
47	mike468	1556582524.152	   359.873	0	27	0	0	sh run_mapping.sh input/46.in 46
10	mike469	1556582523.928	   368.565	0	28	0	0	sh run_mapping.sh input/9.in 9
93	mike464	1556582524.494	   369.183	0	28	0	0	sh run_mapping.sh input/92.in 92
59	mike458	1556582524.230	   369.710	0	28	0	0	sh run_mapping.sh input/58.in 58
62	mike466	1556582524.251	   373.719	0	28	0	0	sh run_mapping.sh input/61.in 61
